,Invoicedate,Distributor,GroupId,Type,Provincename,MatNo,Material Name,New_Volume(L),Points,Month
3649,2023-04-20,A,ERW_AMBP2020110030,Retails,Bangkok,140043,MOBIL ATF 3309 12/1,3360,1,4
3650,2023-02-21,A,ERW_AMBP2020110030,Retails,Bangkok,143625,MOBIL SUPER 2000 TURBOSPEED 10W-30 12X1L:TH,1440,2,2
3651,2023-12-19,A,ERW_AMBP2020110030,Retails,Bangkok,140043,MOBIL ATF 3309 12/1,1380,1,12
3652,2023-02-20,A,ERW_AMBP2020110030,Retails,Bangkok,143625,MOBIL SUPER 2000 TURBOSPEED 10W-30 12X1L:TH,7560,2,2
3653,2023-08-15,A,ERW_AMBP2020110050,Retails,Bangkok,145828,MOBIL SUPER ALL-IN-ONE PROTECTION 5W-40 4x4+1L/CAR,2160,4,8
3654,2023-10-30,A,ERW_AMBP2020110058,Retails,Bangkok,135903,MOBIL LUBE GX 80W90 4/5,8500,1,10
3655,2023-09-26,A,ERW_AMBP2020110058,Retails,Bangkok,135903,MOBIL LUBE GX 80W90 4/5,4240,1,9
3656,2023-09-26,A,ERW_AMBP2020110058,Retails,Bangkok,145500,MOBIL DELVAC MODERN 15W-40 S DEFENSE PAIL20L:TH,6880,2,9
3657,2023-08-29,A,ERW_AMBP2020110058,Retails,Bangkok,135903,MOBIL LUBE GX 80W90 4/5,9820,1,8
3658,2023-07-20,A,ERW_AMBP2020110058,Retails,Bangkok,135903,MOBIL LUBE GX 80W90 4/5,1940,1,7
3659,2023-07-11,A,ERW_AMBP2020110058,Retails,Bangkok,135895,MOBIL LUBE HD 85W140 4/5,6940,1,7
3660,2023-04-05,A,ERW_AMBP2020110058,Retails,Bangkok,135903,MOBIL LUBE GX 80W90 4/5,8660,1,4
3661,2023-01-16,A,ERW_AMBP2020110058,Retails,Bangkok,135895,MOBIL LUBE HD 85W140 4/5,3180,1,1
3662,2023-11-21,A,ERW_AMBP2020110058,Retails,Bangkok,135903,MOBIL LUBE GX 80W90 4/5,8840,1,11
3663,2023-03-15,A,ERW_AMBP2020110082,Retails,Bangkok,140417,MOBIL 1 Turbo Diesel 5W-40 12/1 LT,1180,10,3
3664,2023-11-14,A,ERW_AMBP2020110082,Retails,Bangkok,143874,MOBIL SUPER ALL-IN-ONE PROTECTION TURBOSPEED 5W-30 12X1L/CAR,3140,1,11
3665,2023-09-18,A,ERW_AMBP2020110082,Retails,Bangkok,144672,MOBIL 1 Turbo Diesel 5W-40 12X1L/CAR,4320,10,9
3666,2023-08-24,A,ERW_AMBP2020110124,Retails,Phra Nakhon Si Ayutthaya,144673,MOBIL 1 Turbo Diesel 5W-40 4X6L/CAR,5620,10,8
3667,2023-07-21,A,ERW_AMBP2020110131,Reseller,Lop Buri,144673,MOBIL 1 Turbo Diesel 5W-40 4X6L/CAR,3620,10,7
3668,2023-01-14,A,ERW_AMBP2020110131,Reseller,Lop Buri,142938,MOBIL DELVAC SUPER 1400 15W-40 12X1 LT CTN,9320,2,1
3669,2023-07-25,A,ERW_AMBP2020110137,Retails,Sing Buri,144673,MOBIL 1 Turbo Diesel 5W-40 4X6L/CAR,2720,10,7
3670,2023-09-21,A,ERW_AMBP2020110142,Reseller,Saraburi,134349,MOBIL BRAKE FLUID DOT4 12X1L,1840,1,9
3671,2023-11-27,A,ERW_AMBP2020110147,Retails,Chon Buri,144673,MOBIL 1 Turbo Diesel 5W-40 4X6L/CAR,1780,10,11
3672,2023-04-04,A,ERW_AMBP2020110156,Retails,Chon Buri,140418,MOBIL 1 Turbo Diesel 5W-40 CTN 4X6L:TH,80,10,4
3673,2023-12-18,A,ERW_AMBP2020110156,Retails,Chon Buri,145888,MOBIL SUPER EVERYDAY PROTECTION 20W-50 4x4+1L/CAR,5060,1,12
3674,2023-02-09,A,ERW_AMBP2020110156,Retails,Chon Buri,134345,MOBIL HYDRAULIC 10W 4/5,6720,1,2
